"","primary_drug_concept_id_list","secondary_drug_concept_id_list","excluding_drug_concept_id_list","regimen_concept_id","regimen_name"
"251","1311443","1308290","1310317;1338512;1350504;1367268;19078187",35806909,"VA"
"252","1350066","1301267;1310317;1308290","1338512;1518254;1551099",35806342,"VBMC"
"253","1390051","1550557","1308290;1309188;1314273;1329241;1338512;1350504;1351779;19008264",35804353,"Chlorambucil and Prednisolone"
"254","1338512","1551099;1350504;1308290","1305058;1310317;1311078;1314273;1329241;1344905;1351779;1390051;1394337;1518254;19008264;19008336;19078187;19136750;35197850",35805818,"OEPA"
"255","1344905","1378382;42629079","1397141",35101611,"Carboplatin, nab-Paclitaxel, Atezolizumab"
"256","1338512","40167582;1551099;1310317;1308290","",35805036,"O-miniCHOP"
"257","1387104","1337620","1397141;1397599;42801287",35804312,"Capecitabine and Trastuzumab"
"258","19012585","1311078;1436650;1310317;1308290","1305058;1338512;1350504;1437379;1518254",35101482,"CALGB 8811 early intensification"
"259","1338512","1336825;1310317;1308290;1550557","",35806093,"BCHOP"
"260","1525866","","1310317;1551099",35804356,"DES monotherapy"
"261","1333357","1310317","1395557;19137385",35806362,"Busulfan and Cyclophosphamide, then allo HSCT"
"262","1503057","","1436678;1511449",35804350,"Aminoglutethimide monotherapy"
"263","1388796","955632","1305058;1310317;1314924;1315411;1315942;1318011;1350504;1367268;1389036;1389464;1397141;1397599;19100985;35603068;40244266;44818489",35804545,"Fluorouracil and Folinic acid"
"264","19078097","46221435;1311078","",35803522,"7 plus 3i and Panobinostat"
"265","1305058","1314273;1351779;1308290","",35804429,"R-MPV"
"266","1397599","40167582;1506270;1311078;1350504","",35805838,"O-ESHAP"
"267","1338512","1329241;1305058;1311443;1310317","1397599",35806468,"MA-BCD"
"268","1305058","1344354;955632","1310317",35805689,"FEMTX"
"269","19078187","1350504;1308290","1305058;1310317;1311078;1311443;1314273;1338512;1367268;1378509;1518254;1551099;19008336;19051649;19136750",35806912,"VIE"
"270","1338512","19011440;1551099;1310317;1308290","",35806637,"CHOP and Everolimus"
"271","1338512","1305058;1397599;19008264","",35804148,"MVAC, dose-dense"
"272","1551099","43014237","1310317",35806331,"Pomalidomide and Prednisone"
"273","1378382","1397599;1314924","",35804561,"Cisplatin, Gemcitabine, nab-Paclitaxel"
"274","1388796","955632","1305058;1310317;1314924;1315411;1315942;1318011;1350504;1367268;1389036;1389464;1397141;1397599;19100985;35603068;40244266;44818489",35102019,"FULV/FULV and RT"
"275","1315411","1314924","",35806587,"Gemcitabine, Cetuximab, RT"
"276","19068830","1314273;1310317;1395557","",35805644,"(90)YFC, then allo HSCT"
"277","1315942","1550557","",35102022,"Docetaxel and Prednisolone"
"278","1338512","1350066;1301267;1310317","1308290;1518254;1551099",35806335,"ABCM"
"279","1387104","1315942;1310317","",35804308,"TCH (Taxotere, Cyclophosphamide)"
"280","1338512","1314273;1336825;1310317;1518254;1308290","",35806092,"VcR-CVAD"
"281","1309770","","984232;1308432;1311409;1350066;1379969;1380068;1397599;19008264;46221699",35806136,"IL-2 monotherapy"
"282","1367268","1315411","955632;1318011;1388796;40168303",35804798,"Irinotecan and Cetuximab"
"283","1310317","1395557","1309188;1312706;1314273;1333357;19068830;19137385;40167582;44507676",35803620,"FC"
"284","1350066","","1301267;1305058;1308290;1309188;1309770;1310317;1311078;1311409;1314273;1338512;1350504;1351779;1377141;1380068;1397599;1506270;1518254;1551099;19008264;19068830;19136750;19137385",35803679,"Carmustine monotherapy"
"285","1315942","","955632;1310317;1314924;1315411;1318011;1337620;1338512;1344354;1344381;1344905;1349025;1366689;1367268;1377141;1387104;1388796;1397141;1397599;1550557;1551099;35198201;40238052;42801287;44818489",35804238,"ddT (Taxotere)"
"286","1338512","1551099;1310317;1308290","955632;1301267;1305058;1311078;1311409;1312706;1314273;1329241;1336825;1344905;1350066;1350504;1351779;1394337;1397599;1518254;1593155;19008264;19008336;19011440;19026972;19051642;19054997;19078187;19086176;19136750;35197850;40167582;44507676",35803699,"CHOP"
"287","1329241","1305058;1308290","1309188;1310317;1311078;1338512;1350504;1397599;1518254;1550557;1551099",35806626,"VBM"
"288","963987","","",35806850,"Apalutamide monotherapy"
"289","1398399","","19011440",35100810,"Exemestane and Tucidinostat"
"290","1311078","1304850","1309188;1395557;19009705;19051599;19054821;19054825;19078097",35803483,"HDAC and G-CSF"
"291","19078097","1333379","903643",35803566,"Arsenic trioxide and Idarubicin"
"292","1305058","1551099;1310317;1308290","955632;1311078;1314273;1329241;1338512;1350504;1351779;1394337;1518254;19008336;19078187;19136750",35804086,"COMP"
"293","1301267","19137042;1336825;1551099","",35806291,"VMPT"
"294","1344905","1315942","955632;1387104;1551099;42801287",35803571,"Carboplatin and Docetaxel"
"295","1710612","1380068","",35803592,"Interferon alfa-2b and Zidovudine"
"296","903643","1311799","1311078;1333379;1350504",35803555,"ATRA and Daunorubicin"
"297","19015523","19026972;1518254","",35806319,"BLD"
"298","794068","","1305058;1308290;1310317;1311078;1314273;1518254",35804064,"Inotuzumab ozogamicin monotherapy"
"299","1304107","1377141","",35805718,"Hydroxyurea and Imatinib"
"300","1315946","1359548","1387104",35804292,"Lapatinib and Letrozole"
"301","1311078","903643;1311799;1350504","",35803547,"ADE and ATRA"
"302","35605522","","",35804394,"Osimertinib monotherapy"
"303","1397599","1315942","955632;1388796;1397141",35805328,"Cisplatin, Docetaxel, RT"
"304","1304107","1518254;1308290","1305058;1310317;1311078;1338512",35804076,"Imatinib, Vincristine, Dexamethasone"
"305","1311799","","903643;1304107;1305058;1308290;1310317;1311078;1314273;1314865;1326481;1333379;1350504;1355795;1363387;1394023;1436650;1437379;1518254;1550557;1551099;1594003;19012585;19054825;19136750;42799711;45775576",35803530,"Daunorubicin monotherapy"
"306","1326481","1311078;1436650;1310317;1308290","19002912",35102002,"AALL0232 consolidation"
"307","19078097","1311078;1337651","",35803524,"7 plus 3i and Vorinostat"
"308","1378382","","793846;955632;1305058;1310317;1311409;1314273;1314924;1318011;1337620;1338512;1343346;1344354;1344905;1350504;1359548;1366689;1378509;1387104;1397141;1397599;19078187;40167554;40238188;42629079;42801287;43525787;43533090;44818489;45775965;45892579",35804223,"Paclitaxel monotherapy, q3wk"
"309","1314924","","955632;1308290;1310317;1311409;1314273;1315411;1315942;1318011;1325363;1326481;1336539;1337620;1338512;1343346;1344354;1344905;1366689;1367268;1378382;1387104;1388796;1389036;1397141;1397599;1518254;1550557;1551099;19008264;19012585;19015523;19051649;19078187;19137042;35606215",35804135,"Gemcitabine monotherapy"
"310","1305058","1311078","794068;955632;1304107;1308290;1310317;1311799;1314273;1329241;1338512;1350504;1358436;1394023;1397599;1436650;1437379;1506270;1518254;1550557;1551099;19008336;19011440;19012585;19051649;19078097;19078187;19128219;19136750;19137385;40175460;43013182",35804417,"Methotrexate, then Cytarabine"
"311","1318011","1388796;1367268;955632","1314924",35804771,"FOLFIRINOX"
"312","19012585","1551099;1310317;1311799;1308290","1314273",35804032,"Cyclophosphamide, Daunorubicin, L-Asparaginase, Vincristine, Prednisone"
"313","1397599","19078187;1314924","",35806436,"GIP"
"314","1311078","42799711;1311799","",35807523,"DA 3 plus 10, GO"
"315","1314273","1336825","1308290;1310317;1338512;1390051;1518254;1551099;19011440;19015523",35805642,"VR"
"316","1311078","1311799;1350504","903643;1305058;1308290;1310317;1394023;1437379;1518254;1550557",35803454,"ADE (high-dose Ara-C)"
"317","1397141","1344354;1310317;955632","",35804253,"FEC and Bevacizumab"
"318","1318011","1315942;955632","1388796",35805367,"DOF"
"319","1305058","19137385","955632;1311078;1314273",35804362,"Methotrexate and Thiotepa"
"320","1338512","1305058;1310317;1308290","955632;1304107;1311078;1314273;1329241;1350504;1351779;1358436;1394337;1436650;1437379;1506270;1518254;1550557;1551099;19008336;19011440;19012585;19078187;19136750;43013182",35804374,"CODOX-M"
"321","1314273","794068","",35805083,"R-INO"
"322","1305058","1436650","903643;1308290;1310317;1311078;1338512;1350504;1437379;1518254;1550557;1551099;19008264;19012585;19078097;19128219",35804053,"Mercaptopurine, Methotrexate, WB-XRT"
"323","1338512","1718346","",35806967,"Doxorubicin and Olaratumab"
"324","1718850","","",35806484,"Rucaparib monotherapy"
"325","1338512","1326481;1436650;1308290;1550557","",35100884,"Doxorubicin, 6-MP, Pegaspargase, Vincristine, Prednisolone"
"326","1338512","1329241;1390051;19008264;1351779;1350504;1308290;1550557","",35805845,"ChlVPP/PABIOE"
"327","35200783","","",35804822,"Cemiplimab monotherapy"
"328","43533115","1518254;1309188;1308290","",35102016,"Mitoxantrone, Asparaginase Erwinia chrysanthemi, Vincristine, Dexamethasone"
"329","1333357","1395557","1301267;1310317;1314273;19068830",35803485,"BuFlu, then allo HSCT"
"330","1344354","1310317","955632;1305058;1308290;1314273;1329241;1350504;1378382;1387104;1391846;1397141;1397599;1550557;1551099;19008264;19008336;19137385",35804236,"ddEC"
"331","1310317","","794068;955632;1301267;1304107;1305058;1308290;1309188;1311078;1311409;1311443;1311799;1312706;1314273;1314924;1315942;1326481;1329241;1333357;1336825;1337651;1338512;1344354;1344905;1350066;1350504;1351779;1354698;1358436;1367268;1368823;1378382;1378509;1380068;1380191;1387104;1388796;1391846;1394337;1395557;1397141;1397599;1436650;1436678;1437379;1500211;1506270;1518254;1525866;1550557;1551099;1593155;19002912;19008264;19008336;19011440;19012585;19026972;19031224;19051642;19051649;19054821;19054825;19054997;19068830;19078097;19078187;19086176;19136750;19137042;19137385;21017157;35197850;40167582;40175460;40241969;42873638;42874135;43013182;43014237;44507676",35805069,"Cyclophosphamide and TBI, then auto HSCT"
"332","1300978","","1436678",35804361,"Megestrol monotherapy"
"333","40168385","","",35804817,"Romidepsin monotherapy"
"334","1397141","1397599;1350504","",35806945,"Cisplatin, Etoposide, Bevacizumab"
"335","1518254","1380068;1379969","",35806270,"Interferon alfa and Dexamethasone"
"336","42801287","43525787","1378382",35804313,"Pertuzumab and T-DM1"
"337","1397599","1315411;1343346","",35806406,"Cisplatin, Vinorelbine, Cetuximab"
"338","1344905","19026972;19078187;1354698;1314273;1350504","",35805064,"RICER"
"339","35604032","1518254;43014237","",35806313,"Elo-Pd"
"340","19026972","","1301267;1308290;1310317;1314273;1314865;1336825;1337651;1338512;1344905;1350504;1354698;1518254;1551099;1750500;19015523;19078187;35604032;35605744;35606214;40167582;42873638;46221435",35803596,"Lenalidomide monotherapy"
"341","1301267","1395557","1312706;1333357",35803628,"Fludarabine and Melphalan"
"342","1397141","21017157","",35804263,"Doxorubicin non-pegylated liposomal and Bevacizumab"
"343","1593861","","",35806485,"Niraparib monotherapy"
"344","1350066","1301267;1311078;1350504","1314273;1518254;19068830",35804418,"BEAM, then auto HSCT"
"345","35605744","","1301267;1336825;1518254;1551099;19026972;19137042;42873638;43014237",35806063,"Daratumumab monotherapy"
"346","1338512","1397599;19137042;1336825;1310317;1518254;1350504","1301267",35806305,"VTD-PACE"
"347","1551099","1522957","",35807047,"Octreotide and Prednisone"
"348","1397599","1315411","955632;1337620;1343346",35805770,"Cisplatin, Cetuximab, RT"
"349","19078187","1344354","1354698;1397599;19008336",35806948,"Epirubicin and Ifosfamide"
"350","19137042","1551099","1301267;1310317;1314273;1314924;1336825;1350504;1351779;1397599",35806288,"Thalidomide and Prednisone"
"351","1314273","1310317;1395557","1309188;1312706;19068830",35805652,"FCR, then allo HSCT"
"352","1338512","1551099;1310317","955632;1301267;1305058;1308290;1311078;1311409;1312706;1314273;1329241;1336825;1344905;1350066;1350504;1351779;1380068;1394337;1397599;1518254;1593155;19008264;19008336;19011440;19026972;19051642;19054997;19078187;19086176;19136750;35197850;40167582;40241969;44507676",35804621,"CAP"
"353","1394023","1311799;1308290;1550557","1305058;1311078;1350504",35804070,"Daunorubicin, Vincristine, Prednisolone, Nilotinib"
"354","1378382","1397141","1344905;1378509;1397599;42629079",35804256,"Paclitaxel, nanoparticle albumin-bound and Bevacizumab"
"355","1341149","","1305058;1314273;1337620;1367268;1391846;1397141;19137042;46221699",35805714,"Temozolomide and low-dose RT"
"356","46221435","1336825","1518254;19137042",35806641,"Bortezomib and Panobinostat"
"357","19012585","1311078;1551099;1311799;1308290;19136750","1305058",35804089,"Cytarabine, Daunorubicin, L-Asparaginase, Teniposide, Vincristine, Prednisone"
"358","1338512","1329241;1551099;1310317;1308290","1305058;1311078;1311409;1350504;1351779;19008264;19136750",35805094,"CHOP-B"
"359","1315942","1551099","1344905",35806858,"Docetaxel and Prednisone"
"360","1388796","955632","1305058;1310317;1314924;1315411;1315942;1318011;1350504;1367268;1389036;1389464;1397141;1397599;19100985;35603068;40244266;44818489",35806894,"Fluorouracil, Folinic acid, RT"
"361","1378382","1337620","1344905",35805348,"Capecitabine, Paclitaxel, RT"
"362","1338512","1310317;1308290;1550557","1305058;1314273;1329241;1336825;1350504;1351779;19012585",35102028,"CHOP (Prednisolone)"
"363","1315946","45892075","",35804287,"Letrozole and Palbociclib"
"364","1348265","45892075","",35101493,"Anastrozole and Palbociclib"
"365","1397141","1337620","1318011;1367268;1387104",35804245,"Capecitabine and Bevacizumab"
"366","1318011","1388796;955632","1314924;1315411;1315942;1367268;1397141;19100985",35804756,"FLOX"
"367","1319193","1304919","",35806429,"Gefitinib and Pemetrexed"
"368","19015523","40167582","",35804608,"Bendamustine and Ofatumumab"
"369","1344905","1308290","1305058;1310317;1329241;1338512;1350504;1397599;1551099;19008336;35197850",35806073,"Carboplatin and Vincristine"
"370","19026972","35606214;1518254","",35806283,"IRd"
"371","43013182","","1305058;1308290;1310317;1311078;1338512;1518254",35804084,"Ponatinib monotherapy"
"372","1338512","1390051;1314273;1336825;1518254","",35806088,"RiPAD plus C"
"373","1338512","1397599;1310317","1301267;1305058;1308290;1311078;1311443;1314273;1329241;1336825;1350504;1368823;1518254;1551099;19008264;19137042",35806434,"CAP (Platinol)"
"374","44507848","1314273","19015523",35804612,"Ibrutinib and Rituximab"
"375","1344905","1350504","1305058;1308290;1310317;1314273;1338512;1354698;1378382;1397141;1518254;1550557;1551099;19008336;19026972;19078187;35197850;40167582;42629079",35806400,"Carboplatin and Etoposide"
"376","1518254","43014237","1310317;1336825;35604032;35605744;42873638;45775965",35806066,"Pd"
"377","1387104","1343346","",35804242,"VH"
"378","1797155","","",35806119,"Peginterferon alfa-2b monotherapy"
"379","1338512","1329241;1310317;1308290","1305058;1311078;1311409;1350504;1351779;1518254;1550557;1551099;19008264;19136750",35806952,"BACO"
"380","1338512","1329241;1305058;1311078;1551099;1310317;1350504;1308290","",35805109,"ProMACE-CytaBOM"
"381","1338512","1310317;1518254;1308290","1301267;1304107;1305058;1311078;1314273;1326481;1329241;1336825;1350066;1350504;1358436;1397599;1436650;1437379;1506270;1551099;19008336;19011440;19012585;19078187;19136750;43013182",35806329,"Hyper-CVAD"
"382","1338512","1506270;1310317;1308290","1305058;1311078;1518254;19011440",35806337,"C-VAMP"
"383","19026972","42873638;1518254","",35806284,"KRd"
"384","1311078","","794068;903643;955632;1301267;1304107;1304850;1305058;1308290;1309188;1310317;1311799;1314273;1314865;1318011;1326481;1329241;1337651;1338512;1344905;1350066;1350504;1355795;1358436;1363387;1380068;1391846;1394023;1395557;1397599;1436650;1437379;1506270;1518254;1550557;1551099;1551860;1594003;19002912;19008336;19009705;19011440;19012585;19015523;19017810;19024728;19051599;19051649;19054821;19054825;19057483;19068830;19078097;19078187;19128219;19136750;19137385;35604205;36879099;40167582;40175460;42799711;43013182;45775576;46221435",35803539,"Cytarabine monotherapy"
"385","1318011","1388796;955632","1314924;1315411;1315942;1367268;1397141;19100985",35804758,"mFOLFOX6"
"386","1312706","1314273;1310317;1395557","",35804587,"CFAR"
"387","1329241","1305058;1311443;1310317","1338512;1397599",35806473,"M-BCD"
"388","1338512","1311443;19078187;1308290","1310317;1350504;1367268",35805449,"VAIA"
"389","40222431","1551099","",35806854,"Cabazitaxel and Prednisone"
"390","19132294","","",35804801,"Edrecolomab monotherapy"
"391","19015523","","1301267;1311078;1314273;1314924;1336825;1343346;1350504;1395557;1396729;1518254;1550557;19026972;19092845;19137042;40167582;40241969;44507676;44507848;45776944",35804017,"Bendamustine monotherapy"
"392","1344905","1378382;45775965","",35806415,"Carboplatin, Paclitaxel, Pembrolizumab"
"393","1329241","1551099;1310317;1351779;1350504","1308290;1309188;1338512;19008264",35805122,"CEPP(B)"
"394","36879010","","",35805080,"Pixantrone monotherapy"
"395","1314273","1518254;1395557;1309188","",35805639,"R-FND"
"396","1397141","1388796;1367268;955632","",35804770,"FOLFIRI and Bevacizumab"
"397","1338512","1305058;1310317;955632","1308290;1311078;1551099",35804351,"CAMF"
"398","1355513","","",35803515,"Gilteritinib monotherapy"
"399","1311078","1311799","903643;1305058;1308290;1310317;1314865;1350504;1355795;1363387;1394023;1436650;1437379;1518254;1550557;1551099;1594003;19012585;19054825;19136750;42799711;45775576",35803519,"5 plus 3d"
"400","963987","","",35806835,"ADT and Apalutamide"
"401","1389036","1337620","",35803671,"Capecitabine, Mitomycin, RT"
"402","40168303","955632","1315411;1318011;1367268;1397141",35102009,"Fluorouracil and Levoleucovorin"
"403","1397599","1389036;19008264","",35806438,"MVP (Vinblastine)"
"404","1391846","1551099;1308290","1351779",35803681,"Lomustine, Vincristine, Prednisone"
"405","1310317","1311799;1308290;1550557","",35102023,"Cyclophosphamide, Daunorubicin, Vincristine, Prednisolone"
"406","19137385","1310317","1333357;1344354;1344905;1395557",35804354,"CHUT, then auto HSCT"
"407","1378382","1344354;1310317","",35804239,"iddEPC"
"408","1305058","19078187;1314273;1311078;19008336;1310317;1518254;40175460","1308290",35804424,"Nordic Regimen, older patients"
"409","1397599","19008336","1311409;1389036",35806397,"Cisplatin and Vindesine"
"410","1338512","1329241;1391846;19008264","",35805857,"B-CAVe"
"411","1329241","1551099;1310317;1308290","1305058;1309188;1311078;1311409;1338512;1350504;1351779;19008264;19136750",35805097,"COP-Bleo"
"412","1305058","1311078;19137385","1314273",35804419,"Methotrexate, then Cytarabine and Thiotepa"
"413","1301267","1550557","1308290;1310317",35102015,"MP (Prednisolone)"
"414","1314273","19092845","19015523",35806099,"Temsirolimus and Rituximab"
"415","19137042","1310317;42873638;1518254","",35806303,"CYKLONE"
"416","1305058","1506270;1391846;1351779","",35804416,"Lomustine, Methotrexate, Procarbazine, Methylprednisolone"
"417","1318011","1397141;1367268;40168303;955632","",35804772,"FOLFIRINOX and Bevacizumab (L-Leucovorin)"
"418","1304044","1337620","",35101990,"Capecitabine and Fulvestrant"
"419","19078097","1311078;1304107","",35804077,"Cytarabine, Idarubicin, Imatinib"
"420","1390051","1551099;19008264;1351779","1308290;1338512;1350504",35805822,"ChlVPP"
"421","1333357","1310317","1395557;19137385",35803484,"BuCy, then auto HSCT"
"422","1397599","1311409","1309770;1350066;1378382;1380068;1436678;19008264;19008336",35806123,"Cisplatin and Dacarbazine"
"423","1301267","1311078;1350504;36879099","",35804008,"FEAM"
"424","984232","1308432;1309770;46221699","",35806375,"GM-CSF, IL-2, Isotretinoin, Dinutuximab"
"425","1344905","1304919;45775965","",35806403,"Carboplatin, Pemetrexed, Pembrolizumab"
"426","19026972","1310317;1518254","1336825",35806051,"CRd"
"427","19051599","","1304850;1311078;1395557",35807092,"Daunorubicin liposomal monotherapy"
"428","1333379","903643","1311799;19078097;42799711",35803549,"Arsenic trioxide and ATRA"
"429","1305058","","794068;903643;955632;1304107;1308290;1309188;1310317;1311078;1311443;1311799;1314273;1326481;1329241;1338512;1341149;1344354;1344905;1350066;1350504;1351779;1354698;1358436;1368823;1378382;1388796;1390051;1391846;1394023;1394337;1397599;1436650;1436678;1437379;1506270;1518254;1550557;1551099;19008264;19008336;19011440;19012585;19051649;19078097;19078187;19128219;19136750;19137385;40175460;43013182;43533115",35804095,"Methotrexate monotherapy"
"430","1318011","1367268","955632;1314924;1315411;1388796;1397141;40168303",35804781,"IROX"
"431","1344905","1314273;1311078;1518254","",35806077,"R-DHAC"
"432","1397599","1311409;1380068","1309770;1350066;19008264",35806145,"Cisplatin, Dacarbazine, Interferon alfa-2b"
"433","1397599","1310317","1301267;1305058;1308290;1311078;1311443;1314273;1329241;1336825;1338512;1344354;1350066;1350504;1354698;1368823;1380191;1391846;1518254;1551099;19008264;19078187;19137042",35806492,"Cisplatin and Cyclophosphamide"
"434","1338512","1350066;1301267;1551099;1310317;1518254;1308290","",35806266,"VBMCP/VBAD"
"435","1305058","1551099;1310317;955632","1308290;1311078;1338512;1436678",35804331,"CMFP"
"436","1397599","1314273;1311078;1518254","1305058;1308290;1310317;1338512;1350504;1551099;19078187",35805058,"R-DHAP"
"437","1338558","","",35806477,"Samarium-153 with stem cell support"
"438","1397599","1310317;1518254;1350504","1301267;1336825;1338512;19137042",35806263,"DCEP"
"439","1338512","1329241;1308290","1305058;1310317;1311078;1311409;1350504;1351779;1390051;1394337;1518254;1550557;1551099;19008264;19136750",35807090,"ABV (Vincristine)"
"440","1548195","","",35804357,"Estradiol monotherapy"
"441","1311078","19054821","1304850;19024728;19078097",35803498,"Clofarabine and Cytarabine"
"442","46221435","1314273","",35805079,"Panobinostat and Rituximab"
"443","1397599","1506270;1311078;1350504","1314273;40167582",35805119,"ESHAP"
"444","19034726","1337651","",35805863,"Sirolimus and Vorinostat"
"445","1338512","1305058","955632;1304107;1308290;1310317;1311078;1311443;1314273;1329241;1350504;1351779;1354698;1358436;1391846;1394337;1397599;1436650;1437379;1506270;1518254;1550557;1551099;19008264;19008336;19011440;19012585;19078187;19136750;43013182",35806467,"MA"
"446","1344905","1315411;955632","",35805774,"Carboplatin, Fluorouracil, Cetuximab"
"447","794044","","",35803473,"CPX-351 monotherapy"
"448","1344905","1304919","1397141;45775965",35806172,"Carboplatin and Pemetrexed"
"449","1305058","1344354;1310317;955632","",35804327,"CEF/CMF"
"450","1318011","40168303;955632","1315411;1367268;1397141",35102005,"FOLFOX 7/sLV5FU2 (L-Leucovorin)"
"451","1397599","19078187;19008264","1350504",35807023,"VeIP"
"452","19068830","1314273","1301267;1310317;1311078;1333357;1350066;1350504;1395557",35805030,"Ibritumomab tiuxetan monotherapy"
"453","42709322","","1593273;45775965",35805789,"Axitinib and TACE"
"454","19057483","45775576;1311078","",35803458,"HAA"
"455","1378382","40167554","",35806488,"Paclitaxel and Pazopanib"
"456","1714165","","1304107;1379969;1380068",35805377,"Peginterferon alfa-2a monotherapy"
"457","35606215","","1314924;1397599",35806417,"Necitumumab monotherapy"
"458","1305058","19012585;1311078;1436650;1310317;1518254;1350504;1308290","",35804041,"Pediatric-like GRAALL consolidation"
"459","19078097","1311078","903643;1304107;1304850;1305058;1309188;1314273;1337651;1350504;1363387;1391846;1395557;1436650;1437379;1551860;19009705;19054821;19128219;46221435",35803443,"Cytarabine and Idarubicin"
"460","1344905","1397141","1304919;1314924;1350504;1378382;42629079",35803689,"Carboplatin and Bevacizumab"
"461","1338512","1329241;1391846;1551099;1311409","",35805856,"ABDIC"
"462","1344905","955632","1315411;1315942;1344354",35805349,"Carboplatin, Fluorouracil, RT"
"463","19015523","44507676","",35804585,"Bendamustine and Obinutuzumab"
"464","1338512","19012585;1310317;1308290;1550557","",35804087,"Cyclophosphamide, Doxorubicin, L-Asparaginase, Vincristine, Prednisolone"
"465","1341149","","1305058;1314273;1337620;1367268;1391846;1397141;19137042;46221699",35803479,"Temozolomide monotherapy"
"466","1305058","1310317;955632","1308290;1311078;1338512;1344354;1368823;1388796;1436678;1551099",35804224,"CMF"
"467","1387104","1315942","1310317;1344905;42801287",35804220,"TH (Taxotere)"
"468","1378382","1337620","1344905",35804248,"Capecitabine and Paclitaxel, nanoparticle albumin-bound"
"469","19051649","1336825","1310317;1518254",35806307,"Bortezomib and Doxorubicin liposomal"
"470","1397599","1314273;1314924;1518254","",35805062,"R-GDP"
"471","19026972","1301267;1551099","1336825;1518254",35806273,"MPR"
"472","792649","1315946","",35804281,"Abemaciclib and Letrozole"
"473","975125","","985708;989482",35806851,"Hydrocortisone monotherapy"
"474","1311443","1310317;1308290","1338512;1350504;1367268;19078187",35806910,"VAC"
"475","1311078","42799711;1311799","",35803445,"7 plus 3d and GO"
"476","1338512","1329241;1310317;1351779;1350504;1308290;1550557","",35102020,"eBEACOPP (Prednisolone)"
"477","1314273","","794068;1301267;1305058;1308290;1309188;1310317;1311078;1311409;1311799;1312706;1314924;1318011;1329241;1333357;1336825;1337651;1338512;1341149;1343346;1344354;1344905;1350066;1350504;1351779;1354698;1378382;1378509;1390051;1391846;1395557;1396729;1397141;1397599;1506270;1518254;1550557;1551099;1593155;19008264;19008336;19011440;19012585;19015523;19026972;19031224;19051649;19054825;19068830;19078097;19078187;19092845;19136750;19137042;19137385;35604205;40175460;42873638;42874135;44507848;45776944;46221435",35803432,"Rituximab monotherapy"
"478","1318011","1397141;1388796;955632","",35804777,"mFOLFOX6 and Bevacizumab"
"479","1397599","19078187;19008264;1350504","",35806441,"VIP"
"480","1318011","1337620","1315411;1315942;1344354;1397141;19100985",35805347,"Capecitabine, Oxaliplatin, RT"
"481","1350066","19137385","",35803996,"BCNU/TT"
"482","1338512","19008264;1311409","1308290;1310317;1314273;1329241;1351779;1394337;1506270;1551099;40241969",35805804,"AVD"
"483","1397599","1315411;955632","",35805359,"Cisplatin, Fluorouracil, Cetuximab"
"484","1436678","1311409","1397599",35806147,"Dacarbazine and Tamoxifen"
"485","1388796","955632","1305058;1310317;1314924;1315411;1315942;1318011;1350504;1367268;1389036;1389464;1397141;1397599;19100985;35603068;40244266;44818489",35805355,"5-FU and Leucovorin, then 5-FU, Leucovorin, RT, then 5-FU and Leucovorin"
"486","1378382","43533090","",35806419,"Afatinib and Paclitaxel"
"487","1397141","1367268;1337620","",35804768,"CAPIRI-Bev"
"488","1305058","19078097;1311078;1436650;19128219","",35803462,"IC and Norethandrolone/6-MP, MTX, Norethandrolone"
"489","1310317","","794068;955632;1301267;1304107;1305058;1308290;1309188;1311078;1311409;1311443;1311799;1312706;1314273;1314924;1315942;1326481;1329241;1333357;1336825;1337651;1338512;1344354;1344905;1350066;1350504;1351779;1354698;1358436;1367268;1368823;1378382;1378509;1380068;1380191;1387104;1388796;1391846;1394337;1395557;1397141;1397599;1436650;1436678;1437379;1500211;1506270;1518254;1525866;1550557;1551099;1593155;19002912;19008264;19008336;19011440;19012585;19026972;19031224;19051642;19051649;19054821;19054825;19054997;19068830;19078097;19078187;19086176;19136750;19137042;19137385;21017157;35197850;40167582;40175460;40241969;42873638;42874135;43013182;43014237;44507676",35804235,"ddC"
"490","42900401","","",35804082,"Bosutinib monotherapy"
"491","1304107","1380068;1379969;1714165","",35804634,"Imatinib and Interferon"
"492","1738521","","",35806103,"Doxycycline monotherapy"
"493","19051599","1311078;1304850;1395557","",35803506,"FLAG-DNX"
"494","1329241","1397599;1350504","19008264",35807017,"Accelerated BEP"
"495","1329241","1344354;1551099;19008264","",35805809,"EBVP"
"496","1301267","19054821","",35803500,"Clofarabine and Melphalan, then allo HSCT"
"497","40167582","44507848","",35804611,"Ibrutinib and Ofatumumab"
"498","19078097","903643","1309188;1311078;1333379;1350504;1437379",35803557,"ATRA and Idarubicin"
"499","1350066","1301267;1311078;1518254;1350504","1314273",35805830,"DexaBEAM"
"500","1551099","1310317;1525866","",35806856,"Cyclophosphamide, Prednisone, Diethylstilbestrol"
"501","1336825","1518254;43014237","",35806332,"PVD"
"502","1315942","35198201","",35806418,"Docetaxel and Nedaplatin"
"503","35605744","42873638;1518254","",35101979,"Dara-Kd"
"504","1314924","1336539","",35806904,"Gemcitabine and Sunitinib"
